Bakery,Address,Latitude,Longitude,Latitude,Longtitude
The Sweet Life Bakeshop,"740 South St Philadelphia, PA 19147",39.9422909,-75.1551882,,
The Bakeshop on 20th,"269 S 20th St Philadelphia, PA 19103",39.9484101,-75.174133,,
Beiler's Bakery,"51 N 12th St Philadelphia, PA 19107",39.9535983,-75.1593829,,
Bread Top House,"1041 Race St Philadelphia, PA 19107",39.9556913,-75.1572928,,
J'aime French Bakery,"212 S 12th St Philadelphia, PA 19107",39.948081,-75.1608093,,
A LA Mousse,"145 N 11th St Philadelphia, PA 19107",39.9552167,-75.1574268,,
Au Fouril,"234 Woodbine Ave Narberth, PA 19072",40.0095648,-75.2593633,,
Isgro Pastries,"1009 Christian St Philadelphia, PA 19147",39.9393937,-75.1597819,,
Frangelli's Bakery,"847 W Ritner St Philadelphia, PA 19148",39.9197119,-75.1619627,,
Nook Bakery & Coffee Bar,"15 S 20th St Philadelphia, PA 19103",39.9527767,-75.1732379,,
Termini Bros Bakery,"1701 John F Kennedy Blvd Philadelphia, PA 19103",39.954703,-75.1684962,,
Oui,"160 N 3rd St Philadelphia, PA 19106",39.953873,-75.145074,,
Maison Sweet,"2930 Chestnut St Philadelphia, PA 19104",39.9531102,-75.1832509,,
Mayflower Bakery & Cafe,"1008 Race St Philadelphia, PA 19107",39.9552567,-75.1563115,,
Termini Bros Bakery,"1523 S 8th St Philadelphia, PA 19147",39.9298013,-75.1580443,,
Four Worlds Bakery,"4634 Woodland Philadelphia, PA 19143",39.9434199,-75.2105015,,
Tartes Pastry Shop,"212 Arch St Philadelphia, PA 19106",39.9518037,-75.1438627,,
Tartes Pastry Shop,"901 N 3rd St Philadelphia, PA 19123",39.9649649,-75.1421791,,
Ursa Bakery,"N 22nd St & Fairmount Ave Philadelphia, PA 19130",39.9673072,-75.1737505,,
The Frosted Fox Cake Shop,"6511 Germantown Ave Philadelphia, PA 19119",40.0487702,-75.1834594,,
Haegele's Bakery,"4164 Barnett St Philadelphia, PA 19135",40.0263359,-75.0572171,,
KC's Pastries,"109 N 10th St Philadelphia, PA 19107",39.953863,-75.156041,,
Machine Shop,"1901 S 9th St Philadelphia, PA 19148",39.9252954,-75.159828,,
Gran Caffe L'Aquila,"1716 Chestnut St Philadelphia, PA 19103",39.9512789,-75.1695181,,
Sarcone's Bakery,"758 S 9th St Philadelphia, PA 19147",39.9401063,-75.1578313,,
Mighty Bread Company,"1211 Gerritt St Philadelphia, PA 19147",39.9322174,-75.1648445,,
Metropolitan Bakery,"262 S 19th St Philadelphia, PA 19103",39.9481791,-75.1728468,,
Cake Life Bake Shop,"1306 Frankford Ave Philadelphia, PA 19125",39.9704611,-75.1347412,,
Whipped Bakeshop,"636 Belgrade St Philadelphia, PA 19125",39.974562,-75.1275499,,
Amigo's Bakery,"2327 S 12th St Philadelphia, PA 19148",39.9206548,-75.1665256,,
Artisan Boulanger Patissier,"1218 Mifflin St Philadelphia, PA 19148",39.9263259,-75.1664515,,
Stock's Bakery,"2614 E Lehigh Ave Philadelphia, PA 19125",39.9788936,-75.1154994,,
The Kettle Black,"631 N 2nd St Philadelphia, PA 19123",39.9616445,-75.1409523,,
Kouklet Brazilian Bakehouse,"1647 E Passyunk Ave Philadelphia, PA 19148",39.9289697,-75.1642855,,
Cake Life Bake Shop,"1306 Frankford Ave Philadelphia, PA 19125",39.9704611,-75.1347412,,
Sweet Box Cupcakes,"339 S 13th St Philadelphia, PA 19107",39.9455743,-75.1627856,,
La Rosas Cafeteria y Panaderia,"1712 S 8th St Philadelphia, PA 19148",39.9275589,-75.1589396,,
R Weinrich German Bakery,"3545 W Chester Pike Newtown Square, PA 19073",39.9867576,-75.3974687,,
Aurora Grace,"225 S 18th St Philadelphia, PA 19103",39.949295,-75.1706505,,
Brewerytown Bakery,"2949 W Girard Ave Philadelphia, PA 19130",39.9749478,-75.1849738,,
Matcha Panda Cafe,"202 N 9th St Philadelphia, PA 19107",39.9553565,-75.1544241,,
Lost Bread Co.,"1313 N Howard St Philadelphia, PA 19122",39.9708891,-75.1364011,,
Sol Levante Bakery,"1923 Cheltenham Ave Cheltenham, PA 19012",40.0683248,-75.1471343,,
Miguelina Bakery,"4928 Westfield Ave Pennsauken Township, NJ 08110",39.958637,-75.0648439,,
Merenda Box,"801 E Hector St Conshohocken, PA 19428",40.0745314,-75.2924485,,
Essen Bakery,"1437 E Passyunk Ave Philadelphia, PA 19147",39.9310321,-75.1618419,,
Bredenbeck's Bakery & Ice Cream Parlor,"8126 Germantown Ave Philadelphia, PA 19118",40.0724965,-75.2023802,,
Coffee Cream & Dreams,"1436 Fairmount Ave Philadelphia, PA 19130",39.9669063,-75.1620478,,
Cacia's Bakery,"1526 W Ritner St Philadelphia, PA 19145",39.9208362,-75.1731836,,
Tous Les Jours,"826 Haddonfield Rd Cherry Hill, NJ 08002",39.9266597,-75.0320455,,
Ramona Susan's Bake Shop,"1255 Marlborough St Philadelphia, PA 19125",39.9711799,-75.132352,,
Darnel's Cakes,"444 N 3rd St Philadelphia, PA 19123",39.9583973,-75.1449044,,
K'Far Cafe,"110 S 19th St Philadelphia, PA 19103",39.9514386,-75.1721742,,
Tasty Twisters Bakery,"5002 Umbria St Philadelphia, PA 19128",40.0356495,-75.2361014,,
Paris Baguette,"1717 Chestnut St Philadelphia, PA 19103",39.9517335,-75.1694171,,
BUY the Dozen,"123 W. Rockland St. Philadelphia, PA 19120",40.0248892,-75.1245145,,
Dodo Bakery,"2653 S 11th St Philadelphia, PA 19148",39.9163136,-75.1658815,,
Denise's Delicacies,"2916 N 22nd St Philadelphia, PA 19132",39.9991623,-75.167009,,
Small Oven Pastry Shop,"2204 Washington Ave Philadelphia, PA 19146",39.9390544,-75.1801195,,
