period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,zipcode
12/1/15,2/29/16,90,zip code,2,40832,f,Zip Code: 98119,,Washington,WA,All Residential,-1,690000.0,0.00729927,0.352941176,689475.0,-0.034990727,0.255874317,412.5,0.039107143,0.168847404,452.5098768,0.033754336,0.227186024,73.0,-0.141176471,0.057971014,23.0,0.533333333,-0.233333333,64.0,0.066666667,-0.146666667,29.0,0.035714286,-0.121212121,,,,12.0,4.0,-25.5,1.019565538,-0.006154443,0.02105669,0.452054795,-0.053827558,0.220170737,,,,0.652173913,-0.014492754,-0.247826087,"Seattle, WA",42644,7/15/24 17:39,98119
9/1/19,11/30/19,90,zip code,2,40860,f,Zip Code: 98166,,Washington,WA,Single Family Residential,6,728500.0,0.11221374,0.296263345,650000.0,-0.071395407,0.085141903,288.6465912,-0.014045802,-0.03073035,290.8750454,-0.01537508,-0.028797845,58.0,-0.134328358,0.0,14.0,-0.3,-0.263157895,46.0,-0.323529412,-0.313432836,28.0,-0.125,-0.034482759,,,,28.0,10.0,6.5,0.981520653,-0.008660718,-0.000917204,0.137931034,-0.130725682,-0.034482759,,,,0.428571429,-0.071428571,0.165413534,"Seattle, WA",42644,7/15/24 17:39,98166
4/1/18,6/30/18,90,zip code,2,40848,f,Zip Code: 98144,,Washington,WA,Condo/Co-op,3,356500.0,-0.024957265,0.014224751,404475.0,0.05745098,0.244634203,461.7414248,-0.055995309,-0.048716305,498.5988772,0.012659882,0.126277472,11.0,-0.153846154,-0.45,4.0,0.333333333,-0.5,14.0,0.4,-0.222222222,5.0,0.666666667,0.666666667,,,,8.0,2.0,0.0,1.018088229,-0.022829904,-0.062514036,0.454545455,-0.083916084,-0.295454545,,,,0.75,-0.25,0.125,"Seattle, WA",42644,7/15/24 17:39,98144
8/1/14,10/31/14,90,zip code,2,40842,f,Zip Code: 98133,,Washington,WA,All Residential,-1,345000.0,0.0,0.077956569,339950.0,0.00280236,0.033596838,218.881885,-0.024843464,0.101551644,226.7676768,0.002551834,0.112419046,204.0,0.056994819,0.172413793,65.0,-0.057971014,0.203703704,231.0,-0.049382716,0.1,117.0,0.017391304,0.00862069,,,,12.0,2.0,-3.5,1.000144453,-0.003650818,-0.004517675,0.318627451,-0.04406685,-0.043441515,,,,0.369230769,-0.138015608,-0.130769231,"Seattle, WA",42644,7/15/24 17:39,98133
3/1/13,5/31/13,90,zip code,2,40854,f,Zip Code: 98155,,Washington,WA,Multi-Family (2-4 Unit),4,460000.0,-0.089108911,0.393517116,283500.0,-0.319736053,-0.258823529,142.8571429,-0.07006075,0.514692517,148.7012987,-0.059038039,-0.029875966,3.0,0.5,2.0,1.0,,,3.0,0.5,0.5,3.0,0.5,0.5,,,,7.0,-75.0,-2.0,0.969717433,-0.004509371,-0.095121277,0.0,0.0,-1.0,,,,1.0,,,"Seattle, WA",42644,7/15/24 17:39,98155
12/1/14,2/28/15,90,zip code,2,40844,f,Zip Code: 98136,,Washington,WA,Multi-Family (2-4 Unit),4,555000.0,0.0,,,,,152.4725275,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,69.0,0.0,,0.925,0.0,,0.0,0.0,,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98136
5/1/14,7/31/14,90,zip code,2,40822,f,Zip Code: 98109,,Washington,WA,Condo/Co-op,3,335000.0,-0.016008224,0.032357473,349750.0,0.093908828,0.069571865,398.3935743,-0.00085734,0.167124837,415.7303371,0.108819569,0.090715023,71.0,0.075757576,0.126984127,20.0,-0.090909091,0.052631579,74.0,-0.075,0.027777778,31.0,0.0,-0.114285714,,,,15.0,5.0,3.0,0.989795683,-0.010874919,-0.006527974,0.23943662,-0.093896714,-0.046277666,,,,0.6,0.236363636,0.231578947,"Seattle, WA",42644,7/15/24 17:39,98109
3/1/18,5/31/18,90,zip code,2,40825,f,Zip Code: 98112,,Washington,WA,Condo/Co-op,3,710000.0,0.019382627,0.373307544,599000.0,-0.09924812,0.200882117,746.3414634,-0.017911694,0.112703979,663.2653061,-0.062280084,0.087833363,17.0,0.416666667,0.214285714,4.0,-0.555555556,-0.5,19.0,0.0,0.0,3.0,0.5,-0.4,,,,8.0,0.0,0.0,1.067289091,0.025491873,0.020050631,0.705882353,0.12254902,0.134453782,,,,1.0,0.222222222,0.125,"Seattle, WA",42644,7/15/24 17:39,98112
10/1/17,12/31/17,90,zip code,2,40837,f,Zip Code: 98126,,Washington,WA,Multi-Family (2-4 Unit),4,576000.0,0.0,,,,,389.1891892,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,18.0,0.0,,1.00173913,0.0,,1.0,0.0,,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98126
8/1/16,10/31/16,90,zip code,2,40822,f,Zip Code: 98109,,Washington,WA,All Residential,-1,540000.0,0.102040816,0.13397732,630000.0,0.188903567,0.06870229,497.4341769,-0.00495442,0.12760338,480.6763285,0.001433407,0.077288272,117.0,0.054054054,0.13592233,47.0,0.27027027,0.740740741,117.0,-0.048780488,0.147058824,27.0,-0.372093023,-0.25,,,,10.0,1.0,1.0,1.014727985,0.00346367,-0.002434435,0.47008547,0.01963502,0.01377479,,,,0.574468085,-0.047153537,-0.055161545,"Seattle, WA",42644,7/15/24 17:39,98109
6/1/14,8/31/14,90,zip code,2,40844,f,Zip Code: 98136,,Washington,WA,All Residential,-1,436500.0,0.003448276,-0.045901639,459000.0,-0.001956947,0.067565996,271.9914893,-3.13e-05,0.12091904,286.7463235,0.013614911,0.079858928,84.0,0.037037037,-0.086956522,35.0,0.4,0.75,111.0,-0.112,0.121212121,52.0,-0.133333333,0.019607843,,,,11.0,3.0,1.5,1.005556823,-0.0106493,4.61e-05,0.380952381,-0.075837743,-0.010351967,,,,0.314285714,-0.205714286,-0.385714286,"Seattle, WA",42644,7/15/24 17:39,98136
8/1/19,10/31/19,90,zip code,2,40820,f,Zip Code: 98107,,Washington,WA,Multi-Family (2-4 Unit),4,899975.0,0.036897287,-0.308456278,1185000.0,0.215384615,-0.084942085,388.2753759,0.087171053,-0.215154957,442.1768707,0.037641723,-0.030283928,6.0,0.2,2.0,2.0,1.0,1.0,5.0,0.0,-0.444444444,5.0,0.0,0.0,,,,38.0,3.0,29.0,0.971366883,0.001274564,-0.069753117,0.166666667,-0.033333333,-0.333333333,,,,0.5,0.5,-0.5,"Seattle, WA",42644,7/15/24 17:39,98107
4/1/23,6/30/23,90,zip code,2,40815,f,Zip Code: 98102,,Washington,WA,All Residential,-1,665000.0,-0.011152416,0.066559743,842500.0,0.238970588,0.40428369,633.1044721,0.004163079,-0.078333591,664.2605474,0.044666231,-0.002883717,78.0,-0.025,-0.426470588,24.0,-0.142857143,-0.333333333,110.0,-0.017857143,-0.36416185,58.0,0.074074074,-0.134328358,,,,11.0,1.0,4.0,0.993194857,-0.001606151,-0.027298894,0.230769231,0.018269231,-0.21040724,,,,0.5,-0.214285714,-0.027777778,"Seattle, WA",42644,7/15/24 17:39,98102
5/1/23,7/31/23,90,zip code,2,40818,f,Zip Code: 98105,,Washington,WA,Townhouse,13,990000.0,0.0,-0.023668639,865000.0,-0.145679012,-0.048927982,575.5813953,0.031388628,-0.043045512,617.9775281,0.019409978,0.085119438,5.0,0.0,-0.5,1.0,0.0,,9.0,0.5,0.5,7.0,0.75,0.4,,,,11.0,0.0,6.0,0.98606323,-0.023757576,-0.022912895,0.2,-0.2,0.0,,,,1.0,0.0,,"Seattle, WA",42644,7/15/24 17:39,98105
7/1/14,9/30/14,90,zip code,2,40821,f,Zip Code: 98108,,Washington,WA,All Residential,-1,312900.0,-0.051818182,-0.0221875,332925.0,0.009169445,-0.026535088,192.6644262,-0.056140949,-0.010121421,201.1904762,0.041456583,-0.020393991,76.0,-0.11627907,0.04109589,22.0,0.0,0.1,84.0,-0.056179775,-0.056179775,42.0,0.024390244,-0.142857143,,,,23.0,4.0,15.0,1.005000352,-0.002004404,-0.008196725,0.368421053,-0.015299878,-0.083633742,,,,0.454545455,-0.045454545,-0.095454545,"Seattle, WA",42644,7/15/24 17:39,98108
2/1/20,4/30/20,90,zip code,2,40829,f,Zip Code: 98116,,Washington,WA,Townhouse,13,701000.0,0.00286123,-0.034368758,684475.0,-0.000693481,-0.045362622,504.6619235,-0.000489024,0.096283265,464.555334,0.015417394,-0.020949634,26.0,-0.103448276,0.083333333,5.0,0.0,0.25,28.0,0.217391304,0.037037037,13.0,0.444444444,0.083333333,,,,35.0,-9.5,-3.0,1.005848205,0.003020361,0.011621242,0.423076923,0.043766578,0.298076923,,,,0.8,-0.2,0.05,"Seattle, WA",42644,7/15/24 17:39,98116
3/1/17,5/31/17,90,zip code,2,40815,f,Zip Code: 98102,,Washington,WA,Multi-Family (2-4 Unit),4,976000.0,0.0,-0.2192,915000.0,0.016779642,-0.268,389.3129771,-0.074583907,-0.026717557,343.4732824,0.0,-0.148783604,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,-0.4,2.0,1.0,0.0,,,,7.0,0.0,-11.0,1.123036665,0.035844449,0.105156717,1.0,0.0,0.666666667,,,,1.0,0.0,1.0,"Seattle, WA",42644,7/15/24 17:39,98102
3/1/13,5/31/13,90,zip code,2,40844,f,Zip Code: 98136,,Washington,WA,Condo/Co-op,3,179000.0,-0.121472393,0.114743889,244950.0,-0.124866024,0.484995453,225.9134615,-0.041622569,0.223816808,260.5678055,0.0,0.447168686,9.0,0.125,0.5,7.0,6.0,,12.0,1.0,2.0,4.0,-0.333333333,0.333333333,,,,20.0,-0.5,-65.5,0.971089302,0.0047107,-0.007492173,0.0,-0.125,-0.166666667,,,,0.714285714,0.714285714,,"Seattle, WA",42644,7/15/24 17:39,98136
7/1/20,9/30/20,90,zip code,2,40876,f,Zip Code: 98198,,Washington,WA,Condo/Co-op,3,305950.0,0.048671808,0.185852713,299950.0,-0.000166667,0.013344595,287.1320618,0.043440677,0.183071393,308.5761524,0.046794989,0.081483906,42.0,0.05,0.05,8.0,-0.6,-0.333333333,50.0,0.020408163,0.086956522,15.0,-0.0625,-0.5,,,,16.5,-1.0,-13.5,0.996001287,0.001126601,0.007126087,0.261904762,0.011904762,-0.038095238,,,,0.5,0.1,0.0,"Seattle, WA",42644,7/15/24 17:39,98198
4/1/22,6/30/22,90,zip code,2,40838,f,Zip Code: 98127,,Washington,WA,All Residential,-1,970000.0,,,932500.0,,,647.6184081,,,621.9334766,,,2.0,,,,,,2.0,,,,,,,,,10.0,,,1.047169811,,,0.5,,,,,,,,,"Seattle, WA",42644,7/15/24 17:39,98127
3/1/14,5/31/14,90,zip code,2,40825,f,Zip Code: 98112,,Washington,WA,Single Family Residential,6,949500.0,0.123668639,0.023719677,975000.0,-0.023046092,0.026315789,378.6667778,0.126912331,0.218180676,380.4076087,-0.025205503,0.116042181,74.0,0.254237288,-0.139534884,28.0,-0.096774194,-0.222222222,99.0,0.087912088,-0.181818182,31.0,-0.114285714,-0.367346939,,,,8.0,-0.5,-3.0,1.025609249,-0.000439921,0.036010846,0.540540541,0.032065964,0.249842866,,,,0.571428571,-0.105990783,-0.095238095,"Seattle, WA",42644,7/15/24 17:39,98112
11/1/15,1/31/16,90,zip code,2,40816,f,Zip Code: 98103,,Washington,WA,Single Family Residential,6,666500.0,0.009848485,0.059618442,599950.0,-0.04008,0.061858407,359.1628959,0.067226891,0.168568274,350.2173913,0.045919506,0.095324871,68.0,-0.284210526,-0.014492754,25.0,1.5,0.470588235,59.0,0.0,0.255319149,15.0,0.5,0.666666667,,,,8.0,1.0,-2.0,1.04439205,-0.010540687,0.023959795,0.529411765,-0.091640867,0.080136402,,,,0.8,0.1,0.211764706,"Seattle, WA",42644,7/15/24 17:39,98103
5/1/17,7/31/17,90,zip code,2,40850,f,Zip Code: 98146,,Washington,WA,Townhouse,13,312500.0,0.24501992,0.166044776,249950.0,0.020516485,0.089106754,204.7514408,-0.019863517,-0.013678694,196.9981238,-0.005778729,-0.051984413,4.0,-0.333333333,3.0,5.0,,4.0,7.0,-0.125,0.4,2.0,-0.6,-0.5,,,,11.5,5.5,-83.5,1.028420632,-0.000677046,0.028420632,0.5,0.0,0.5,,,,0.4,,-0.6,"Seattle, WA",42644,7/15/24 17:39,98146
7/1/14,9/30/14,90,zip code,2,40876,f,Zip Code: 98198,,Washington,WA,Single Family Residential,6,267000.0,0.009642655,0.119496855,275000.0,0.037755429,0.104417671,164.556962,0.015422838,0.197776886,161.8468208,-0.033471017,0.122777291,95.0,-0.151785714,0.202531646,21.0,-0.045454545,-0.192307692,111.0,0.018348624,-0.051282051,98.0,0.180722892,-0.02970297,,,,19.0,-7.0,2.0,0.994048897,0.002721315,-0.003490169,0.305263158,0.019548872,-0.036508994,,,,0.666666667,0.212121212,0.320512821,"Seattle, WA",42644,7/15/24 17:39,98198
7/1/17,9/30/17,90,zip code,2,40819,f,Zip Code: 98106,,Washington,WA,Townhouse,13,445000.0,0.019706691,0.160516365,421975.0,0.056985409,0.140472973,328.4313725,-0.007532008,0.185178753,314.615074,0.006954838,0.117808851,21.0,-0.25,-0.416666667,3.0,-0.625,-0.4,22.0,0.222222222,-0.371428571,9.0,,-0.25,,,,7.0,-2.0,0.0,1.041669578,0.001645385,0.010562088,0.571428571,0.035714286,0.043650794,,,,1.0,0.25,0.4,"Seattle, WA",42644,7/15/24 17:39,98106
2/1/19,4/30/19,90,zip code,2,40867,f,Zip Code: 98178,,Washington,WA,All Residential,-1,472000.0,-0.056,-0.100952381,542499.5,0.087173347,0.261626744,268.9542484,0.023050731,-0.047143811,286.5535982,0.040179743,0.037762206,57.0,-0.123076923,-0.547619048,20.0,0.0,-0.459459459,94.0,0.362318841,-0.241935484,57.0,0.5,0.325581395,,,,13.0,-41.0,5.0,0.997064818,0.014432015,-0.045874312,0.315789474,0.100404858,-0.16833751,,,,0.6,0.0,-0.12972973,"Seattle, WA",42644,7/15/24 17:39,98178
8/1/18,10/31/18,90,zip code,2,40819,f,Zip Code: 98106,,Washington,WA,Single Family Residential,6,551000.0,-0.037554585,0.046285307,550000.0,-0.043478261,0.1,332.4893189,-0.056689182,0.036480668,326.0597826,-0.022065079,-0.029873635,76.0,0.055555556,-0.155555556,25.0,-0.242424242,0.136363636,111.0,-0.059322034,0.275862069,58.0,0.0,1.230769231,,,,14.0,3.5,6.0,0.996097344,-0.016908205,-0.054160343,0.342105263,-0.074561404,-0.224561404,,,,0.2,-0.284848485,-0.436363636,"Seattle, WA",42644,7/15/24 17:39,98106
1/1/23,3/31/23,90,zip code,2,40821,f,Zip Code: 98108,,Washington,WA,Townhouse,13,580998.5,-0.004284501,-0.014413184,577500.0,-0.012820513,-0.068473264,456.6300307,-0.018994468,-0.077294305,459.5612182,0.013391404,-0.078531014,12.0,0.0,-0.781818182,5.0,1.5,-0.166666667,14.0,0.076923077,-0.641025641,8.0,0.142857143,3.0,,,,25.0,-13.0,16.0,0.997337746,0.007081783,-0.015295716,0.333333333,0.166666667,0.024242424,,,,0.4,-0.1,-0.433333333,"Seattle, WA",42644,7/15/24 17:39,98108
3/1/21,5/31/21,90,zip code,2,40836,f,Zip Code: 98125,,Washington,WA,All Residential,-1,753790.0,0.076842857,0.19982491,734950.0,0.051430615,0.172169059,470.891606,0.046425791,0.228230697,426.6265944,-0.014734054,0.063299582,162.0,0.218045113,0.653061224,66.0,0.118644068,1.129032258,184.0,0.157232704,0.393939394,33.0,0.064516129,-0.34,,,,6.0,0.0,-1.0,1.100961662,0.025999661,0.083051899,0.691358025,0.112410656,0.272990678,,,,0.893939394,-0.038263996,0.184261975,"Seattle, WA",42644,7/15/24 17:39,98125
5/1/12,7/31/12,90,zip code,2,40821,f,Zip Code: 98108,,Washington,WA,Townhouse,13,268250.0,0.02581262,0.265330189,247900.0,0.0,0.158411215,184.4457807,-0.027248991,0.226229355,179.2682927,0.01119833,-0.038211382,8.0,0.142857143,1.0,5.0,0.666666667,-0.166666667,11.0,0.571428571,0.0,7.0,0.166666667,-0.222222222,,,,48.0,5.5,-59.0,0.983999688,0.004447148,0.0064653,0.25,-0.035714286,0.0,,,,0.4,0.066666667,-0.433333333,"Seattle, WA",42644,7/15/24 17:39,98108
