period_begin,period_end,region_type,zipcode,state,state_code,property_type,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy
12/1/15,2/29/16,zip code,98119,Washington,WA,All Residential,690000.0,0.00729927,0.352941176,689475.0,-0.034990727,0.255874317
9/1/19,11/30/19,zip code,98166,Washington,WA,Single Family Residential,728500.0,0.11221374,0.296263345,650000.0,-0.071395407,0.085141903
4/1/18,6/30/18,zip code,98144,Washington,WA,Condo/Co-op,356500.0,-0.024957265,0.014224751,404475.0,0.05745098,0.244634203
8/1/14,10/31/14,zip code,98133,Washington,WA,All Residential,345000.0,0.0,0.077956569,339950.0,0.00280236,0.033596838
3/1/13,5/31/13,zip code,98155,Washington,WA,Multi-Family (2-4 Unit),460000.0,-0.089108911,0.393517116,283500.0,-0.319736053,-0.258823529
12/1/14,2/28/15,zip code,98136,Washington,WA,Multi-Family (2-4 Unit),555000.0,0.0,,,,
5/1/14,7/31/14,zip code,98109,Washington,WA,Condo/Co-op,335000.0,-0.016008224,0.032357473,349750.0,0.093908828,0.069571865
3/1/18,5/31/18,zip code,98112,Washington,WA,Condo/Co-op,710000.0,0.019382627,0.373307544,599000.0,-0.09924812,0.200882117
10/1/17,12/31/17,zip code,98126,Washington,WA,Multi-Family (2-4 Unit),576000.0,0.0,,,,
8/1/16,10/31/16,zip code,98109,Washington,WA,All Residential,540000.0,0.102040816,0.13397732,630000.0,0.188903567,0.06870229
6/1/14,8/31/14,zip code,98136,Washington,WA,All Residential,436500.0,0.003448276,-0.045901639,459000.0,-0.001956947,0.067565996
8/1/19,10/31/19,zip code,98107,Washington,WA,Multi-Family (2-4 Unit),899975.0,0.036897287,-0.308456278,1185000.0,0.215384615,-0.084942085
4/1/23,6/30/23,zip code,98102,Washington,WA,All Residential,665000.0,-0.011152416,0.066559743,842500.0,0.238970588,0.40428369
5/1/23,7/31/23,zip code,98105,Washington,WA,Townhouse,990000.0,0.0,-0.023668639,865000.0,-0.145679012,-0.048927982
7/1/14,9/30/14,zip code,98108,Washington,WA,All Residential,312900.0,-0.051818182,-0.0221875,332925.0,0.009169445,-0.026535088
2/1/20,4/30/20,zip code,98116,Washington,WA,Townhouse,701000.0,0.00286123,-0.034368758,684475.0,-0.000693481,-0.045362622
3/1/17,5/31/17,zip code,98102,Washington,WA,Multi-Family (2-4 Unit),976000.0,0.0,-0.2192,915000.0,0.016779642,-0.268
3/1/13,5/31/13,zip code,98136,Washington,WA,Condo/Co-op,179000.0,-0.121472393,0.114743889,244950.0,-0.124866024,0.484995453
7/1/20,9/30/20,zip code,98198,Washington,WA,Condo/Co-op,305950.0,0.048671808,0.185852713,299950.0,-0.000166667,0.013344595
4/1/22,6/30/22,zip code,98127,Washington,WA,All Residential,970000.0,,,932500.0,,
3/1/14,5/31/14,zip code,98112,Washington,WA,Single Family Residential,949500.0,0.123668639,0.023719677,975000.0,-0.023046092,0.026315789
11/1/15,1/31/16,zip code,98103,Washington,WA,Single Family Residential,666500.0,0.009848485,0.059618442,599950.0,-0.04008,0.061858407
5/1/17,7/31/17,zip code,98146,Washington,WA,Townhouse,312500.0,0.24501992,0.166044776,249950.0,0.020516485,0.089106754
7/1/14,9/30/14,zip code,98198,Washington,WA,Single Family Residential,267000.0,0.009642655,0.119496855,275000.0,0.037755429,0.104417671
7/1/17,9/30/17,zip code,98106,Washington,WA,Townhouse,445000.0,0.019706691,0.160516365,421975.0,0.056985409,0.140472973
2/1/19,4/30/19,zip code,98178,Washington,WA,All Residential,472000.0,-0.056,-0.100952381,542499.5,0.087173347,0.261626744
8/1/18,10/31/18,zip code,98106,Washington,WA,Single Family Residential,551000.0,-0.037554585,0.046285307,550000.0,-0.043478261,0.1
1/1/23,3/31/23,zip code,98108,Washington,WA,Townhouse,580998.5,-0.004284501,-0.014413184,577500.0,-0.012820513,-0.068473264
3/1/21,5/31/21,zip code,98125,Washington,WA,All Residential,753790.0,0.076842857,0.19982491,734950.0,0.051430615,0.172169059
5/1/12,7/31/12,zip code,98108,Washington,WA,Townhouse,268250.0,0.02581262,0.265330189,247900.0,0.0,0.158411215
4/1/20,6/30/20,zip code,98116,Washington,WA,Condo/Co-op,605000.0,0.234693878,0.105022831,634750.0,0.024616626,0.123451327
7/1/17,9/30/17,zip code,98107,Washington,WA,Single Family Residential,853750.0,-0.007209721,0.130794702,865000.0,0.096324461,0.168997905
11/1/19,1/31/20,zip code,98118,Washington,WA,All Residential,547000.0,-0.023214286,-0.048695652,582450.0,0.012956522,-0.029128641
2/1/16,4/30/16,zip code,98168,Washington,WA,Townhouse,329950.0,0.11856937,,339950.0,0.014927601,
6/1/20,8/31/20,zip code,98106,Washington,WA,Single Family Residential,588000.0,0.051878354,-0.034482759,599000.0,0.006722689,0.052724077
12/1/19,2/29/20,zip code,98166,Washington,WA,All Residential,525000.0,-0.007561437,-0.027777778,635000.0,0.058421535,0.058333333
6/1/22,8/31/22,zip code,98115,Washington,WA,Condo/Co-op,475500.0,-0.00105042,0.105813953,479000.0,0.019148936,0.066815145
1/1/21,3/31/21,zip code,98131,Washington,WA,All Residential,560000.0,0.210810811,1.081784387,494000.0,-0.05815062,0.353517364
5/1/23,7/31/23,zip code,98116,Washington,WA,Townhouse,806250.0,-0.016768293,-0.091544178,807497.5,-0.009205521,-0.101782536
3/1/17,5/31/17,zip code,98178,Washington,WA,Multi-Family (2-4 Unit),325000.0,0.0,-0.071428571,464500.0,0.0,-0.115238095
12/1/16,2/28/17,zip code,98188,Washington,WA,Townhouse,226500.0,0.313043478,,347000.0,0.692682927,
7/1/20,9/30/20,zip code,98199,Washington,WA,Condo/Co-op,440000.0,0.028037383,0.167108753,440000.0,0.035294118,-0.020044543
4/1/17,6/30/17,zip code,98131,Washington,WA,All Residential,403500.0,0.026717557,0.213533835,381950.0,0.0,-0.045005626
10/1/18,12/31/18,zip code,98198,Washington,WA,Condo/Co-op,232500.0,0.061765042,-0.039256198,229950.0,-0.021489362,-0.079831933
6/1/21,8/31/21,zip code,98117,Washington,WA,Multi-Family (2-4 Unit),867000.0,-0.085443038,0.090566038,998000.0,0.08008658,0.023589744
9/1/18,11/30/18,zip code,98199,Washington,WA,Condo/Co-op,485000.0,0.071823204,0.239616613,548950.0,0.02617067,0.276687288
8/1/13,10/31/13,zip code,98116,Washington,WA,Condo/Co-op,321750.0,-0.144850498,0.07267878,289919.0,-0.17166,-0.291151589
12/1/21,2/28/22,zip code,98168,Washington,WA,Condo/Co-op,241250.0,0.005208333,0.135294118,247500.0,0.1,0.186196981
6/1/15,8/31/15,zip code,98102,Washington,WA,Condo/Co-op,391000.0,0.031662269,0.261290323,365000.0,-0.031830239,0.089714883
8/1/23,10/31/23,zip code,98101,Washington,WA,Condo/Co-op,585000.0,-0.01680507,-0.170212766,639000.0,-0.016923077,-0.060190462
5/1/12,7/31/12,zip code,98134,Washington,WA,Condo/Co-op,2091500.0,-0.477125,,,,
1/1/22,3/31/22,zip code,98109,Washington,WA,All Residential,558944.0,-0.083698361,-0.24467027,670000.0,0.030769231,-0.129841878
2/1/15,4/30/15,zip code,98133,Washington,WA,All Residential,371268.5,0.045826761,0.096076463,365000.0,0.042857143,0.043006144
8/1/19,10/31/19,zip code,98144,Washington,WA,Single Family Residential,865000.0,0.050394657,0.069824277,829000.0,-0.023557126,0.063502245
7/1/16,9/30/16,zip code,98107,Washington,WA,Multi-Family (2-4 Unit),928775.0,0.006802168,0.196875,960000.0,0.185185185,0.211394681
12/1/15,2/29/16,zip code,98199,Washington,WA,Multi-Family (2-4 Unit),1220000.0,0.0,1.489795918,1200000.0,-0.076212471,1.285931994
4/1/20,6/30/20,zip code,98146,Washington,WA,Single Family Residential,575000.0,-0.046434494,0.105769231,549500.0,-0.016994633,0.061887048
12/1/13,2/28/14,zip code,98103,Washington,WA,Single Family Residential,570000.0,-0.008695652,0.190662698,575000.0,0.064913418,0.047358834
2/1/18,4/30/18,zip code,98103,Washington,WA,Townhouse,812000.0,-0.026320523,0.214205607,777475.0,-0.051801939,0.297954925
2/1/22,4/30/22,zip code,98188,Washington,WA,All Residential,383096.0,-0.048208696,-0.201883333,504500.0,0.188527004,0.187058824
2/1/12,4/30/12,zip code,98178,Washington,WA,Multi-Family (2-4 Unit),74000.0,,,,,
5/1/19,7/31/19,zip code,98119,Washington,WA,All Residential,929250.0,0.020032931,0.034223706,910000.0,0.0,0.02247191
4/1/24,6/30/24,zip code,98115,Washington,WA,Condo/Co-op,450000.0,-0.113300493,-0.061032864,449950.0,-0.025027086,-0.086395939
10/1/12,12/31/12,zip code,98166,Washington,WA,Single Family Residential,312000.0,0.0,-0.068656716,274500.0,-0.083395943,-0.183643123
2/1/19,4/30/19,zip code,98119,Washington,WA,Single Family Residential,1289500.0,0.151339286,0.081341719,1295000.0,0.007782101,0.072463768
1/1/20,3/31/20,zip code,98102,Washington,WA,Multi-Family (2-4 Unit),1625000.0,-0.1875,0.015625,1250000.0,0.0,-0.174917492
8/1/19,10/31/19,zip code,98108,Washington,WA,Condo/Co-op,985000.0,9.368421053,,500800.0,0.0,
6/1/17,8/31/17,zip code,98146,Washington,WA,Single Family Residential,470250.0,0.0,0.148381094,462475.0,-0.005430108,0.195180256
10/1/12,12/31/12,zip code,98106,Washington,WA,All Residential,241500.0,0.17804878,0.258140141,250000.0,-0.038350579,0.389274799
9/1/14,11/30/14,zip code,98117,Washington,WA,Multi-Family (2-4 Unit),833000.0,0.175590618,,884000.0,0.01843318,
9/1/23,11/30/23,zip code,98103,Washington,WA,Single Family Residential,1011000.0,-0.008823529,-0.040796964,1025000.0,-0.053991694,-0.023716544
8/1/19,10/31/19,zip code,98105,Washington,WA,Condo/Co-op,446000.0,-0.093495935,-0.096251266,429000.0,-0.091582848,-0.17816092
