"ZIP
Code",erap_fmr_br0,erap_fmr_br1,erap_fmr_br2,erap_fmr_br3,erap_fmr_br4,year,,,
98001,1740,1810,2130,2910,3420,2022,,,
98002,1674,1739,2044,2796,3285,2022,,,
98003,1674,1739,2044,2796,3285,2022,,,
98004,2510,2610,3070,4200,4930,2022,,,
98005,1980,2060,2420,3310,3890,2022,,,
98006,2330,2420,2840,3890,4560,2022,,,
98007,1960,2030,2390,3270,3840,2022,,,
98008,1970,2040,2400,3280,3860,2022,,,
98009,1710,1780,2090,2860,3360,2022,,,
98010,1674,1739,2044,2796,3285,2022,,,
98011,1750,1820,2140,2930,3440,2022,,,
98012,1820,1890,2220,3040,3570,2022,,,
98014,1674,1739,2044,2796,3285,2022,,,
98015,1710,1780,2090,2860,3360,2022,,,
98019,1890,1970,2310,3160,3710,2022,,,
98020,1710,1780,2090,2860,3360,2022,,,
98021,1990,2070,2430,3320,3910,2022,,,
98022,1674,1739,2044,2796,3285,2022,,,
98023,1674,1739,2044,2796,3285,2022,,,
98024,1740,1810,2130,2910,3420,2022,,,
98025,1710,1780,2090,2860,3360,2022,,,
98026,1674,1739,2044,2796,3285,2022,,,
98027,1940,2020,2370,3240,3810,2022,,,
98028,1674,1739,2044,2796,3285,2022,,,
98029,2420,2510,2950,4040,4740,2022,,,
98030,1674,1739,2044,2796,3285,2022,,,
98031,1674,1739,2044,2796,3285,2022,,,
98032,1674,1739,2044,2796,3285,2022,,,
98033,2190,2270,2670,3650,4290,2022,,,
98034,1880,1960,2300,3150,3700,2022,,,
98035,1710,1780,2090,2860,3360,2022,,,
98036,1674,1739,2044,2796,3285,2022,,,
98037,1674,1739,2044,2796,3285,2022,,,
98038,2060,2140,2510,3430,4030,2022,,,
98039,2210,2300,2700,3700,4340,2022,,,
98040,2200,2290,2690,3680,4320,2022,,,
98041,1710,1780,2090,2860,3360,2022,,,
98042,1850,1920,2260,3090,3630,2022,,,
98043,1674,1739,2044,2796,3285,2022,,,
98045,1770,1840,2160,2950,3470,2022,,,
98046,1674,1739,2044,2796,3285,2022,,,
98047,1674,1739,2044,2796,3285,2022,,,
98050,1870,1950,2290,3130,3680,2022,,,
98051,1674,1739,2044,2796,3290,2022,,,
98052,2080,2160,2540,3470,4080,2022,,,
98053,2180,2260,2660,3640,4280,2022,,,
98055,1770,1840,2160,2950,3470,2022,,,
98056,1674,1739,2044,2796,3285,2022,,,
98057,1674,1739,2044,2796,3285,2022,,,
98058,1674,1739,2044,2796,3285,2022,,,
98059,1880,1960,2300,3150,3700,2022,,,
98062,1710,1780,2090,2860,3360,2022,,,
98063,1710,1780,2090,2860,3360,2022,,,
98064,1710,1780,2090,2860,3360,2022,,,
98065,2100,2180,2560,3500,4110,2022,,,
98068,1674,1739,2044,2796,3285,2022,,,
98070,1674,1739,2044,2796,3285,2022,,,
98071,1710,1780,2090,2860,3360,2022,,,
98072,2000,2080,2440,3340,3920,2022,,,
98073,1710,1780,2090,2860,3360,2022,,,
98074,2440,2540,2980,4080,4790,2022,,,
98075,2510,2610,3070,4200,4930,2022,,,
98077,2150,2230,2620,3650,4300,2022,,,
98082,1674,1739,2044,2796,3285,2022,,,
98083,1710,1780,2090,2860,3360,2022,,,
98087,1674,1739,2044,2796,3285,2022,,,
98089,1710,1780,2090,2860,3360,2022,,,
98092,1674,1739,2044,2796,3285,2022,,,
98093,1710,1780,2090,2860,3360,2022,,,
98101,2420,2520,2960,4050,4760,2022,,,
98102,2030,2110,2480,3390,3990,2022,,,
98103,1990,2070,2430,3320,3910,2022,,,
98104,1674,1739,2044,2796,3285,2022,,,
98105,1840,1910,2250,3080,3620,2022,,,
98106,1674,1739,2044,2796,3285,2022,,,
98107,1960,2030,2390,3270,3840,2022,,,
98108,1674,1739,2044,2796,3285,2022,,,
98109,2280,2370,2790,3820,4480,2022,,,
98110,1674,1739,2170,2990,3580,2022,,,
98111,1710,1780,2090,2860,3360,2022,,,
98112,1790,1860,2190,3000,3520,2022,,,
98113,1710,1780,2090,2860,3360,2022,,,
98114,1710,1780,2090,2860,3360,2022,,,
98115,1900,1970,2320,3170,3730,2022,,,
98116,1740,1800,2120,2900,3410,2022,,,
98117,1890,1970,2310,3160,3710,2022,,,
98118,1674,1739,2044,2796,3285,2022,,,
98119,1900,1970,2320,3170,3730,2022,,,
98121,2510,2610,3070,4200,4930,2022,,,
98122,1950,2030,2380,3260,3830,2022,,,
98124,1710,1780,2090,2860,3360,2022,,,
98125,1740,1800,2120,2900,3410,2022,,,
98126,1674,1739,2044,2796,3285,2022,,,
98127,1710,1780,2090,2860,3360,2022,,,
98131,1710,1780,2090,2860,3360,2022,,,
98133,1674,1739,2044,2796,3285,2022,,,
98134,1920,2000,2350,3210,3780,2022,,,
98136,1674,1739,2044,2796,3285,2022,,,
98138,1710,1780,2090,2860,3360,2022,,,
98139,1710,1780,2090,2860,3360,2022,,,
98144,1674,1739,2044,2796,3285,2022,,,
98145,1710,1780,2090,2860,3360,2022,,,
98146,1674,1739,2044,2796,3285,2022,,,
98148,1674,1739,2044,2796,3285,2022,,,
98154,1710,1780,2090,2860,3360,2022,,,
98155,1674,1739,2044,2796,3285,2022,,,
98158,1710,1780,2090,2860,3360,2022,,,
98161,1710,1780,2090,2860,3360,2022,,,
