Bakery,Address,Latitude,Longitude
The Bakeshop on 20th,"269 S 20th St Philadelphia, PA 19103",39.9484101,-75.174133
The Frosted Fox Cake Shop,"6511 Germantown Ave Philadelphia, PA 19119",40.0487702,-75.1834594
The Kettle Black,"631 N 2nd St Philadelphia, PA 19123",39.9616445,-75.1409523
Crumble Factory,"2004 Delmar Dr Folcroft, PA 19032",39.8901648,-75.2852968
Tartes Pastry Shop,"212 Arch St Philadelphia, PA 19106",39.9518037,-75.1438627
Tartes Pastry Shop,"901 N 3rd St Philadelphia, PA 19123",39.9649649,-75.1421791
Ramona Susan's Bake Shop,"1255 Marlborough St Philadelphia, PA 19125",39.9711799,-75.132352
Pennsylvania General Store,"51 N 12th St Reading Terminal Market Philadelphia, PA 19107",39.9537075,-75.1584719
Bredenbeck's Bakery & Ice Cream Parlor,"8126 Germantown Ave Philadelphia, PA 19118",40.0724965,-75.2023802
Cake Life Bake Shop,"1306 Frankford Ave Philadelphia, PA 19125",39.9704611,-75.1347412
Coffee Cream & Dreams,"1436 Fairmount Ave Philadelphia, PA 19130",39.9669063,-75.1620478
Pretty Tasty Cupcakes,"1602 Butler Pike Conshohocken, PA 19428",40.087003,-75.2939271
GF Sweeties,"1001 White Horse Pike Soha Arts Building Haddon Township, NJ 08107",39.8997611,-75.0745278
Sweet Nina's,"51 N 12th St Philadelphia, PA 19107",39.9535983,-75.1593829
The Famous 4th Street Cookie Company,"51 N 12th St Reading Terminal Market Philadelphia, PA 19107",39.9537075,-75.1584719
Flying Monkey Bakery,"12th St & Arch St Reading Terminal Market Philadelphia, PA 19176",39.9537075,-75.1584719
maman,"49 Anderson Ave Ardmore, PA 19003",40.009061,-75.2900583
A La Mousse,"920 Montgomery Ave Narberth, PA 19072",40.0113601,-75.2610549
Little Blue Owl Baking,"207 Haverford Ave Narberth, PA 19072",40.0053029,-75.2617992
Sprinkles,"908 Township Line Rd Elkins Park, PA 19027",40.0813532,-75.1175265
Aurora Grace,"225 S 18th St Philadelphia, PA 19103",39.949295,-75.1706505
Cake & Joe,"2012 Frankford Ave Philadelphia, PA 19125",39.9790846,-75.1302524
Sweet Eats Bakery,"310 S Burnt Mill Rd Voorhees, NJ 08043",39.8538103,-75.0080444
Cafe Tinto,"143 E Wyoming Ave Philadelphia, PA 19120",40.0215333,-75.1225928
3j's Café,"317 Market St Philadelphia, PA 19106",39.9504012,-75.1463654
Stella! Baking Company,"160 Delsea Dr Sewell, NJ 08080",39.7791924,-75.102252
Great Awakenings Cafe,"1466 E Cheltenham Ave Philadelphia, PA 19124",40.029444,-75.0811871
Nothing Bundt Cakes,"333 E Lancaster Ave Wynnewood, PA 19096",40.002402,-75.27771
Black Turtle Coffee,"2100 Chestnut St Fl 1 Philadelphia, PA 19103",39.9520461,-75.1757636
Nothing Bundt Cakes,"333 E Lancaster Ave Wynnewood, PA 19096",40.002402,-75.27771
Candy's Sweets Bakery,"5502 Media St Philadelphia, PA 19131",39.9751027,-75.2316524
Three Legged Hare,"1213 Walnut St Lansdale, PA 19446",40.2518171,-75.275181
Maliya's Sweets Shack,"3226 N Bambrey St Philadelphia, PA 19129",40.0048305,-75.1717171
Vault + Vine,"3507 Midvale Ave Philadelphia, PA 19129",40.0137114,-75.1926314
Mamie Colette,"202 South State St Newtown, PA 18940",40.2261739,-74.937228
Café Chocolate,"1532 Snyder Ave Philadelphia, PA 19145",39.9245926,-75.1726736
Sylvie's French Bakery,"Media, PA 19063",39.9167783,-75.387693
Old City Coffee,"1136 Arch St Philadelphia, PA 19107",39.9531593,-75.1590984
The Bakery House,"604 W Lancaster Ave Bryn Mawr, PA 19010",40.0179441,-75.3116583
Crave Pitman,"9 S Bdwy Pitman, NJ 08071",39.7329124,-75.1311676
Pound Cake Heaven,"714 Church Ln Yeadon, PA 19050",39.9335775,-75.2507524
Three Graces Coffee,"719 E Passyunk Ave Philadelphia, PA 19147",39.9398487,-75.1513393
Creative Cakes by Carolyn,"Langhorne, PA 19047",40.1745538,-74.9226665
Brown Street Coffee & Bánhery,"2545 Brown St Philadelphia, PA 19130",39.9704416,-75.179504
Clay's Creative Corner Bakery,"700 Lancaster Ave Berwyn, PA 19312",40.0472123,-75.44338
Velvet Sky Bakery,"307 Leedom St Jenkintown, PA 19046",40.0954843,-75.1270881
Nana's Kitchen & Catering,"109 N Narberth Ave Narberth, PA 19072",40.0062191,-75.2600924
The BrickHaus,"13 E Hinckley Ave Ridley Park, PA 19078",39.8793514,-75.3233048
Sweet Talk Cafe,"5600 Rte 42 Unit 19 Washington Twp, NJ 08012",39.7586191,-75.0461586
Bloomsday Cafe,"414 S 2nd St Philadelphia, PA 19147",39.9427703,-75.1456349
Queen & Rook Game Cafe,"123 South St Philadelphia, PA 19147",39.9411523,-75.1447855
WOOPS! Cherry Hill,"2000 NJ-38 Cherry Hill Mall Cherry Hill, NJ 08002",39.9422428,-75.0261823
Blossom Cafe,"4007 Skippack Pike Skippack, PA 19474",40.2237271,-75.3979719
Kupkake Mamas,"100 N 18th St Ste 300 Philadelphia, PA 19103",39.9557316,-75.1698478
Cupcake Sisters,"364 Wilmington West Chester Pike Unit 5A Glen Mills, PA 19342",39.8580477,-75.5435972
Glassy Brown Cookies,"224 High St Burlington, NJ 08016",40.0797904,-74.8593884
Pink Moose Ice Cream Cafe and Catering,"147 Main St Royersford, PA 19468",40.183505,-75.5435686
Amici Mullica Hill,"69 North Main St Mullica Hill, NJ 08062",39.7407387,-75.2246377
Ground Up Coffee Shop,"1926 E Passyunk Ave Philadelphia, PA 19148",39.9260701,-75.1681921
Jezabel's,"206-208 S 45th St Philadelphia, PA 19104",39.9549389,-75.2119001
Cafe Ynez,"2025 Washington Ave Philadelphia, PA 19146",39.9396287,-75.1772925
Danyelas Bakery,"Clifton Heights, PA 19018",39.9292791,-75.2962972
Momma T's Soulfood,"2715 W Berks St Philadelphia, PA 19121",39.9845964,-75.1788111
Zana Cakes,"7715 Crittenden St Ste 339 Philadelphia, PA 19118",40.0733427,-75.1936913
Superset Sweets,"4300 Holmesburg Ave Philadelphia, PA 19136",40.0401818,-75.022856
Tuscany Cafe,"230 S Broad St Philadelphia, PA 19102",39.948415,-75.164759
Lysa's Cake'tique,"Philadelphia, PA 19135",40.0203813,-75.0552739
The Station,"10 E Chestnut Ave Merchantville, NJ 08109",39.9523149,-75.0485778
Sweet Nettie Catering,"1820 W Point Pike Lansdale, PA 19446",40.2081162,-75.2975627
Dipped by De,"1150 1st Ave Ste 511 King of Prussia, PA 19406",40.0964569,-75.4146989
Rias sweet creations,"704 Tuckahoe Rd Sewell, NJ 08080",39.7248301,-75.0325932
Robin's Nest Restaurant,"2 Washington St Mount Holly, NJ 08060",39.9928465,-74.7881708
Bagelati,"1096 Rte 130 Cinnaminson, NJ 08077",39.9966039,-74.9914749
Locals Coffee & Eatery,"909 E Willow Grove Ave Wyndmoor, PA 19038",40.0827542,-75.1889354
Philly Pretzel Factory,"1401 W Passyunk Ave Philadelphia, PA 19145",39.925596,-75.17011
Cakes by Kim,"15 Germay Dr Ste 200 Wilmington, DE 19804",39.7295742,-75.5781945
Evermore Coffee Roasters,"1 E Pearl St Ste A Burlington, NJ 08016",40.0809266,-74.8589347
2nd Street Bagels,"496 2nd St Pike Southampton, PA 18966",40.1699094,-75.046301
Barrister's Bagels,"1814 E Ridge Pike Ste 100 Upper Providence Shopping Ctr Royersford, PA 19468",40.2122543,-75.4962739
